Raga,Tonic,Filename,Link,Instrument,Gender,Artist,Channel,Bandish,Start time,End time,Notes
Abhogi,C#,Abhogi_1,,Vocal,M,Bhimsen Joshi,CompMusic DB,,,,
Abhogi,C#,Abhogi_2,,Vocal,M,Bhimsen Joshi,CompMusic DB,,,,
Abhogi,E,Abhogi_3,,Vocal,M,Bhimsen Joshi,CompMusic DB,,,,
Abhogi,A,Abhogi_4,,Vocal,M,Sanjeev Abhyankar,CompMusic DB,,,,
Abhogi,C#,Abhogi_5,,Vocal,M,Jagdish Prasad,CompMusic DB,,,,
Abhogi,D,Abhogi_6,,Vocal,M,Anol Chatterjee,CompMusic DB,,,,
Abhogi,D,Abhogi_7,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Abhogi,C#,Abhogi_8,,Vocal,M,Salamat Ali Khan,CompMusic DB,,,,
Abhogi,C,Abhogi_9,,Vocal,M,Ajoy Chakraborti,CompMusic DB,,,,
Abhogi,A#,Abhogi_10,,Vocal,F,Girija Devi,CompMusic DB,,,,
Adana,C#,Adana_1,Raag Adana | Pt. Ajoy Chakraborty | Hindustani Classical Vocal | Part 5/7,Vocal,M,Ajoy Chakraborti,Komal Nishad,,,,
Adana,D#,Adana_2,https://youtu.be/HyrXaj896jA?si=_z_Hbbdns67FtXyv,Vocal,M,Umrao Khan,The Dream Journey,,,,
Adana,D#,Adana_3,https://youtu.be/yQfyusksjt4?si=oksGRG3MlcBQgqYN,Vocal,M,Jayateerth Mevundi,Komal Nishad,,,,
Adana,C#,Adana_4,https://youtu.be/59fzA3Ipn-E?si=5onUBzyHCrs1EwOP,Vocal,M,Uday Bhawalkar,,,,,
Adana,D#,Adana_5,https://youtu.be/Oi_6zNupJvk?si=GLKimNqBgC6NqVaa,Vocal,M,Venkatesh Kumar,,,,,
Adana,C#,Adana_6,https://youtu.be/Hnw3BF08xSk?si=WKfZ_CIvRkC29Ij1,Vocal,M,Ustad Salamat Ali & Ustad Nazakat Ali,,,,,
Adana,C,Adana_7,https://youtu.be/1dTwD7dDzL4?si=4OA4jayRi8GqH7kp,Vocal,M,Pt. Jasraj,,,,,
Adana,C#,Adana_8,https://youtu.be/7AYHKNG_qBo?si=BckiNEhrb8k-hRb3,Vocal,M,Ajoy Chakraborti,,,,,
Adana,F,Adana_9,https://youtu.be/RmBivLu-8HQ?si=odS481-bF8FvzzWI,Vocal,M,Aniruddh Aithal,,,,,Recording is not great
Adana,B,Adana_10,https://www.youtube.com/watch?v=B4w6ZlhWVIs,Vocal,F,Veena Sahasrabuddhe,,,,,
Ahir Bhairav,F,Ahir Bhairav_1,,Vocal,M,Kaivalyakumar,CompMusic DB,,,,
Ahir Bhairav,F#,Ahir Bhairav_2,,Vocal,M,Kumar Gandharv,CompMusic DB,,,,
Ahir Bhairav,D,Ahir Bhairav_3,,Vocal,M,Amir Khan,CompMusic DB,,,,
Ahir Bhairav,C#,Ahir Bhairav_4,,Vocal,M,Pt. Jasraj,CompMusic DB,,,,
Ahir Bhairav,C#,Ahir Bhairav_5,,Vocal,M,Pt. Jasraj,CompMusic DB,,,,
Ahir Bhairav,D#,Ahir Bhairav_6,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Ahir Bhairav,F#,Ahir Bhairav_7,,Vocal,M,Kumar Gandharv,CompMusic DB,,,,
Ahir Bhairav,D#,Ahir Bhairav_8,,Vocal,M,Omkar Dadarkar,CompMusic DB,,,,
Ahir Bhairav,A#,Ahir Bhairav_9,,Vocal,F,Hirabai Barodekar,CompMusic DB,,,,
Ahir Bhairav,C#,Ahir Bhairav_10,,Vocal,M,Ajoy Chakraborti,CompMusic DB,,,,
Alhaiya Bilawal,D,Alhaiya Bilawal_1,,Vocal,M,Dattatreya L Velankar,CompMusic DB,,,,
Alhaiya Bilawal,D,Alhaiya Bilawal_2,,Vocal,M,Dattatreya L Velankar,CompMusic DB,,,,
Alhaiya Bilawal,D#,Alhaiya Bilawal_3,,Vocal,M,Basavraj Rajaguru,CompMusic DB,,,,
Alhaiya Bilawal,A#,Alhaiya Bilawal_4,,Vocal,F,Kishori Amonkar,CompMusic DB,,,,
Alhaiya Bilawal,A#,Alhaiya Bilawal_5,,Vocal,F,Kishori Amonkar,CompMusic DB,,,,
Alhaiya Bilawal,C#,Alhaiya Bilawal_6,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Alhaiya Bilawal,C#,Alhaiya Bilawal_7,,Vocal,M,Pt. Jasraj,CompMusic DB,,,,
Alhaiya Bilawal,C#,Alhaiya Bilawal_8,,Vocal,M,Pt. Jasraj,CompMusic DB,,,,
Alhaiya Bilawal,F#,Alhaiya Bilawal_9,,Vocal,M,Kumar Gandharv,CompMusic DB,,,,
Alhaiya Bilawal,C#,Alhaiya Bilawal_10,,Vocal,M,Aslam Khan,CompMusic DB,,,,
Asavari (komal re),D#,Asavari (komal re)_1,https://youtu.be/QxuDG00m3-Y?si=0_Zgoy1s3GWoH2Ka,Vocal,M,Venkatesh Kumar,First Edition Arts,,,,
Asavari (komal re),D#,Asavari (komal re)_2,https://youtu.be/4lHpL82SM3g?si=jLhiatiJWRHKXrSi,Vocal,M,Omkar Dadarkar,,,,,
