Raga,Tonic,Filename,Link,Instrument,Start time,Artist,Gender,Channel,Bandish,End time,Notes
Abhogi,C#,Abhogi_1,,Vocal,,Bhimsen Joshi,M,CompMusic DB,,,
Abhogi,C#,Abhogi_2,,Vocal,,Bhimsen Joshi,M,CompMusic DB,,,
Abhogi,E,Abhogi_3,,Vocal,,Bhimsen Joshi,M,CompMusic DB,,,
Abhogi,A,Abhogi_4,,Vocal,,Sanjeev Abhyankar,M,CompMusic DB,,,
Abhogi,C#,Abhogi_5,,Vocal,,Jagdish Prasad,M,CompMusic DB,,,
Abhogi,D,Abhogi_6,,Vocal,,Anol Chatterjee,M,CompMusic DB,,,
Abhogi,D,Abhogi_7,,Vocal,,Rashid Khan,M,CompMusic DB,,,
Abhogi,C#,Abhogi_8,,Vocal,,Salamat Ali Khan,M,CompMusic DB,,,
Abhogi,C,Abhogi_9,,Vocal,,Ajoy Chakraborti,M,CompMusic DB,,,
Abhogi,A#,Abhogi_10,,Vocal,,Girija Devi,F,CompMusic DB,,,
Adana,C#,Adana_1,Raag Adana | Pt. Ajoy Chakraborty | Hindustani Classical Vocal | Part 5/7,Vocal,,Ajoy Chakraborti,M,Komal Nishad,,,
Adana,D#,Adana_2,https://youtu.be/HyrXaj896jA?si=_z_Hbbdns67FtXyv,Vocal,,Umrao Khan,M,The Dream Journey,,,
Adana,D#,Adana_3,https://youtu.be/yQfyusksjt4?si=oksGRG3MlcBQgqYN,Vocal,,Jayateerth Mevundi,M,Komal Nishad,,,
Adana,C#,Adana_4,https://youtu.be/59fzA3Ipn-E?si=5onUBzyHCrs1EwOP,Vocal,,Uday Bhawalkar,M,,,,
Adana,D#,Adana_5,https://youtu.be/Oi_6zNupJvk?si=GLKimNqBgC6NqVaa,Vocal,,Venkatesh Kumar,M,,,,
Adana,C#,Adana_6,https://youtu.be/Hnw3BF08xSk?si=WKfZ_CIvRkC29Ij1,Vocal,,Ustad Salamat Ali & Ustad Nazakat Ali,M,,,,
Adana,C,Adana_7,https://youtu.be/1dTwD7dDzL4?si=4OA4jayRi8GqH7kp,Vocal,,Pt. Jasraj,M,,,,
Adana,C#,Adana_8,https://youtu.be/7AYHKNG_qBo?si=BckiNEhrb8k-hRb3,Vocal,,Ajoy Chakraborti,M,,,,
Adana,F,Adana_9,https://youtu.be/RmBivLu-8HQ?si=odS481-bF8FvzzWI,Vocal,,Aniruddh Aithal,M,,,,Recording is not great
Adana,B,Adana_10,https://www.youtube.com/watch?v=B4w6ZlhWVIs,Vocal,,Veena Sahasrabuddhe,F,,,,
Ahir Bhairav,F,Ahir Bhairav_1,,Vocal,,Kaivalyakumar,M,CompMusic DB,,,
Ahir Bhairav,F#,Ahir Bhairav_2,,Vocal,,Kumar Gandharv,M,CompMusic DB,,,
Ahir Bhairav,D,Ahir Bhairav_3,,Vocal,,Amir Khan,M,CompMusic DB,,,
Ahir Bhairav,C#,Ahir Bhairav_4,,Vocal,,Pt. Jasraj,M,CompMusic DB,,,
Ahir Bhairav,C#,Ahir Bhairav_5,,Vocal,,Pt. Jasraj,M,CompMusic DB,,,
Ahir Bhairav,D#,Ahir Bhairav_6,,Vocal,,Rashid Khan,M,CompMusic DB,,,
Ahir Bhairav,F#,Ahir Bhairav_7,,Vocal,,Kumar Gandharv,M,CompMusic DB,,,
Ahir Bhairav,D#,Ahir Bhairav_8,,Vocal,,Omkar Dadarkar,M,CompMusic DB,,,
Ahir Bhairav,A#,Ahir Bhairav_9,,Vocal,,Hirabai Barodekar,F,CompMusic DB,,,
Ahir Bhairav,C#,Ahir Bhairav_10,,Vocal,,Ajoy Chakraborti,M,CompMusic DB,,,
Alhaiya Bilawal,D,Alhaiya Bilawal_1,,Vocal,,Dattatreya L Velankar,M,CompMusic DB,,,
Alhaiya Bilawal,D,Alhaiya Bilawal_2,,Vocal,,Dattatreya L Velankar,M,CompMusic DB,,,
Alhaiya Bilawal,D#,Alhaiya Bilawal_3,,Vocal,,Basavraj Rajaguru,M,CompMusic DB,,,
Alhaiya Bilawal,A#,Alhaiya Bilawal_4,,Vocal,,Kishori Amonkar,F,CompMusic DB,,,
Alhaiya Bilawal,A#,Alhaiya Bilawal_5,,Vocal,,Kishori Amonkar,F,CompMusic DB,,,
Alhaiya Bilawal,C#,Alhaiya Bilawal_6,,Vocal,,Abdul Rashid Khan,M,CompMusic DB,,,
Alhaiya Bilawal,C#,Alhaiya Bilawal_7,,Vocal,,Pt. Jasraj,M,CompMusic DB,,,
Alhaiya Bilawal,C#,Alhaiya Bilawal_8,,Vocal,,Pt. Jasraj,M,CompMusic DB,,,
Alhaiya Bilawal,F#,Alhaiya Bilawal_9,,Vocal,,Kumar Gandharv,M,CompMusic DB,,,
Alhaiya Bilawal,C#,Alhaiya Bilawal_10,,Vocal,,Aslam Khan,M,CompMusic DB,,,
Asavari (komal re),D#,Asavari (komal re)_1,https://youtu.be/QxuDG00m3-Y?si=0_Zgoy1s3GWoH2Ka,Vocal,,Venkatesh Kumar,M,First Edition Arts,,,
Asavari (komal re),D#,Asavari (komal re)_2,https://youtu.be/4lHpL82SM3g?si=jLhiatiJWRHKXrSi,Vocal,,Omkar Dadarkar,M,,,,
Asavari (komal re),D#,Asavari (komal re)_3,https://youtu.be/juftd3yg_wY?si=LrX1g7ur3pZOeox3,Vocal,,Ulhas Kashalkar,M,,,,
Asavari (komal re),E,Asavari (komal re)_4,https://youtu.be/s7WRnU0Fi0U?si=IC5cSqLJ9MFvF3zf,Vocal,,Moinuddin and Nasir Aminuddin Dagar,M,,,,Some note between D# and E but not either of them
Asavari (komal re),C,Asavari (komal re)_5,https://youtu.be/Z-SUL_6JiKs?si=EGl5zWM__bU5C9Kn,Vocal,,Amir Khan,M,,,,
Asavari (komal re),C#,Asavari (komal re)_6,https://youtu.be/lahaD7-B8DQ?si=-jxgx294FjSrNzjE,Vocal,,Amir Khan,M,,,,
Asavari (komal re),G,Asavari (komal re)_7,https://youtu.be/Hl6OLEfrY98?si=Tv-rPhxDpLiTxtJ,Sarangi,,Dhruba Ghosh,M,,,,
Asavari (komal re),D#,Asavari (komal re)_8,https://youtu.be/EYfX-4mAJWc?si=XC7arDDtDQCmO_Cc,Vocal,,Rajan Sajan Mishra,M,,,,
Asavari (komal re),D#,Asavari (komal re)_9,https://youtu.be/tjE8Z9IEPPY?si=PdBNNjTzUfmg-V7s,Vocal,,Zia Fariduddin Dagar,M,,,,
Asavari (komal re),E,Asavari (komal re)_10,https://youtu.be/ozEjPPZ_014?si=DC1lsY8W5As8UzWp,Vocal,,Omkarnath Thakur,M,,,,
Bageshri,D,Bageshri_1,,Vocal,,Jagdish Prasad,M,CompMusic DB,,,
Bageshri,D#,Bageshri_2,,Vocal,,Mukul Shivaputra Bhanumatey,M,CompMusic DB,,,
Bageshri,D,Bageshri_3,,Vocal,,Prabhakar Karekar,M,CompMusic DB,,,
Bageshri,D,Bageshri_4,,Vocal,,Amir Khan,M,CompMusic DB,,,
Bageshri,A#,Bageshri_5,,Vocal,,Veena Sahasrabuddhe,F,CompMusic DB,,,
Bageshri,C#,Bageshri_6,,Vocal,,Sanjeev Abhyankar,M,CompMusic DB,,,
Bageshri,D,Bageshri_7,,Vocal,,Rashid Khan,M,CompMusic DB,,,
Bageshri,C#,Bageshri_8,,Vocal,,Satyasheel Deshpande,M,CompMusic DB,,,
Bageshri,A,Bageshri_9,,Vocal,,Malini Rajurkar,F,CompMusic DB,,,
Bageshri,D,Bageshri_10,,Vocal,,Ajoy Chakraborti,M,CompMusic DB,,,
Bahar,D#,Bahar_1,https://youtu.be/cnBqvwZ-Wio?si=Tv6cJinyv1HPe4YQ,Vocal,,Rashid Khan,M,,,,
Bahar,D#,Bahar_2,https://youtu.be/6MjXt46zwTM?si=Czu62FopZFVFtsKA,Vocal,,Nusrat Fateh Ali Khan,M,,,,
Bahar,D#,Bahar_3,https://youtu.be/jhT45HzPDoI?si=6xwhhK84LIJ7xZZM,Vocal,,Venkatesh Kumar,M,,,,
Bahar,D#,Bahar_4,https://youtu.be/N18UOzwV7Ic?si=aZ3bmV06R3CIXztm,Vocal,,Farid Ayaz,M,,,,
Bahar,D#,Bahar_5,https://youtu.be/GcPekkQADWs?si=bG-eZ3L2Yil_upeE,Vocal,,D V Paluskar,M,,,,
Bahar,C#,Bahar_6,Ustad Vilayat KHAN   Râga Bahar - ,Sitar,,Vilayat Khan,M,,,,
Bahar,F,Bahar_7,https://youtu.be/pW4CktanGlc?si=533Wsz1DOMZBDE25,Vocal,,Kumar Gandharv,M,,,,
Bahar,C#,Bahar_8,https://youtu.be/o5CBNlP8wmE?si=Y9rUu-yxpDc7zL60,Vocal,,Salamat Ali Khan,M,,,,
Bahar,C#,Bahar_9,https://youtu.be/neue14ZN3RQ?si=m-3x0zeqGtYAz9FZ,Vocal,,Bhimsen Joshi,M,,,,
Bahar,D#,Bahar_10,https://youtu.be/3oTmAUuYdN4?si=5HBEeCZQ_gJt3tkR,Vocal,,Gandhar Deshpande,M,,,,
Bairagi,D,Bairagi_1,,Vocal,,Amir Khan,M,CompMusic DB,,,
Bairagi,A#,Bairagi_2,,Vocal,,Veena Sahasrabuddhe,F,CompMusic DB,,,
Bairagi,D#,Bairagi_3,,Vocal,,Rashid Khan,M,CompMusic DB,,,
Bairagi,E,Bairagi_4,,Vocal,,Kumar Mardur,M,CompMusic DB,,,
