p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,names
1,1,1,1,1,1,0,1,1,0,1,0,"[""Abheri Todi, Devgandhari Todi""]"
1,1,1,1,1,1,0,1,1,0,1,1,"[""Jaun Bhairav""]"
1,1,1,1,1,1,0,1,1,1,1,0,"[""Khat, Lakshmi Todi""]"
1,1,1,1,1,1,0,1,0,1,1,1,"[""Bhairav Bahar""]"
1,1,1,1,0,1,0,1,1,0,1,0,"[""Bahaduri Todi, Gandhari""]"
1,1,1,0,1,1,1,1,1,0,1,1,"[""Gaurimanjari""]"
1,1,1,0,1,1,1,1,1,0,0,1,"[""Roopkali""]"
1,1,1,0,1,1,0,1,1,1,0,1,"[""Tilak Bhairav""]"
1,1,1,0,1,1,0,1,0,1,0,1,"[""Adi Basant, Asa Bhairav""]"
1,1,1,0,1,0,0,1,0,1,0,0,"[""Jait""]"
1,1,1,0,0,1,1,1,0,0,1,0,"[""Madhsurja""]"
1,1,0,1,1,1,0,1,1,0,1,1,"[""Bhavmat Bhairav, Shivmat Bhairav""]"
1,1,0,1,1,1,0,1,1,0,0,1,"[""Devata Bhairav""]"
1,1,0,1,1,1,0,1,0,1,1,1,"[""Bihad Bhairav""]"
1,1,0,1,0,1,1,1,1,0,1,1,"[""Adarangi Todi, Khat Todi, Mangal Todi""]"
1,1,0,1,0,1,1,1,0,1,1,1,"[""Niranjani Todi""]"
1,1,0,1,0,1,1,0,1,0,1,0,"[""Meladalan""]"
1,1,0,1,0,1,0,1,1,0,1,0,"[""Bhairavi, Bilaskhani Todi, Asavari (komal re)""]"
1,1,0,1,0,1,0,1,1,1,1,0,"[""Suha Todi""]"
1,1,0,1,0,1,0,1,0,1,1,0,"[""Ahiri, Jaiwanti Todi, Prabhateshwari""]"
1,1,0,1,0,1,0,0,1,0,0,1,"[""Antardhwani, Viyogavarali""]"
1,1,0,1,0,1,0,0,0,1,1,0,"[""Deen Todi, Parameshwari""]"
1,1,0,1,0,0,1,1,1,0,0,1,"[""Multani, Todi""]"
1,1,0,1,0,0,1,0,1,0,1,0,"[""Mangal Gujari""]"
1,1,0,1,0,0,1,0,1,0,0,1,"[""Gujiri Todi""]"
1,1,0,1,0,0,0,1,0,0,1,0,"[""Bairagi Todi""]"
1,1,0,1,0,0,0,1,1,0,0,0,"[""Bhupali Todi""]"
1,1,0,1,0,0,0,1,1,0,1,0,"[""Saheli Todi""]"
1,1,0,1,0,0,0,1,0,1,1,0,"[""Salagavarali""]"
1,1,0,0,1,1,1,0,0,0,0,1,"[""Meghranjani""]"
1,1,0,0,1,1,1,1,1,0,1,1,"[""Ramkali""]"
1,1,0,0,1,1,1,1,1,0,0,1,"[""Paraj, Paraj Kalingada, Poorvi, Prabhat Bhairav""]"
1,1,0,0,1,1,1,1,1,1,0,1,"[""Purba, Sazgiri""]"
1,1,0,0,1,1,1,1,0,1,1,1,"[""Basanti Kanada""]"
1,1,0,0,1,1,1,1,0,1,0,1,"[""Bhankari, Bhatiyar, Lalit Pancham, Pancham, Shuddha Basant, Sohini Pancham, Vihang""]"
1,1,0,0,1,1,1,0,1,0,0,1,"[""Lalit""]"
1,1,0,0,1,1,1,0,0,1,1,0,"[""Ahir Lalit""]"
1,1,0,0,1,1,1,0,0,1,0,1,"[""Lalita Sohini, Malti Basant""]"
1,1,0,0,1,1,0,1,1,0,0,0,"[""Bangal Bhairav""]"
1,1,0,0,1,1,0,1,1,0,1,0,"[""Basant Mukhari, Prabhakali""]"
1,1,0,0,1,1,0,1,1,0,0,1,"[""Bhairav, Gauri, Kalingada""]"
1,1,0,0,1,1,0,1,1,1,1,0,"[""Virat Bhairav""]"
1,1,0,0,1,1,0,1,1,1,1,1,"[""Kabiri Bhairav, Rati Bhairav""]"
1,1,0,0,1,1,0,1,1,1,0,1,"[""Saurashtra Bhairav""]"
1,1,0,0,1,1,0,1,0,1,1,0,"[""Ahir Bhairav""]"
1,1,0,0,1,1,0,1,0,1,1,1,"[""Anand Bhairav""]"
1,1,0,0,1,1,0,1,0,1,0,1,"[""Bhatiyari Bhairav, Dakshinatya Basant, Mangal Bhairav""]"
1,1,0,0,1,0,1,1,0,0,0,1,"[""Hansa Narayani""]"
1,1,0,0,1,0,1,1,1,0,0,1,"[""Basant, Gauri Basant, Jaitashree, Puriya Dhanashree, Shree, Tankeshree""]"
1,1,0,0,1,0,1,1,1,1,0,1,"[""Dhavalshree, Maligoura""]"
1,1,0,0,1,0,1,1,0,1,0,0,"[""Malavi""]"
1,1,0,0,1,0,1,1,0,1,1,0,"[""Rampriya""]"
1,1,0,0,1,0,1,1,0,1,1,1,"[""Monomanjari""]"
1,1,0,0,1,0,1,1,0,1,0,1,"[""Baradi, Puriya Kalyan, Purva, Shree Kalyan""]"
1,1,0,0,1,0,1,0,1,0,0,1,"[""Din ki Puriya""]"
1,1,0,0,1,0,1,0,0,1,0,1,"[""Marwa, Puriya, Sohini""]"
1,1,0,0,1,0,0,1,0,0,1,0,"[""Sundarkali""]"
1,1,0,0,1,0,0,1,1,0,0,0,"[""Bibhas, Reva""]"
1,1,0,0,1,0,0,1,1,0,0,1,"[""Triveni""]"
1,1,0,0,1,0,0,1,0,1,1,0,"[""Malay Marutam""]"
1,1,0,0,0,1,0,1,0,0,1,0,"[""Bairagi""]"
1,1,0,0,0,1,0,1,1,0,0,0,"[""Gunakri, Gunkali""]"
1,1,0,0,0,1,0,1,1,0,0,1,"[""Jogiya""]"
1,0,1,1,1,1,0,1,0,0,1,1,"[""Lachari Kanada""]"
1,0,1,1,1,1,0,1,1,0,1,0,"[""Dev Gandhar, Gunji Kanada""]"
1,0,1,1,1,1,0,1,1,0,1,1,"[""Chandranandan, Enayetkhani Kanada""]"
1,0,1,1,1,1,0,1,1,1,1,0,"[""Lachari Todi""]"
1,0,1,1,1,1,0,1,1,1,1,1,"[""Pilu""]"
1,0,1,1,1,1,0,1,0,1,1,0,"[""Bheem, Lankeshwari, Malgunji, Neelambari, Rageshri Kanada""]"
1,0,1,1,1,1,0,1,0,1,1,1,"[""Gara, Hanskinkini, Jaijaiwanti, Jaijaiwanti Nat, Jayant Malhar, Nagadhwani Kanada, Patdeepaki, Rageshri Bahar, Ramdasi Malhar, Tilang Bahar, Zila Kafi""]"
1,0,1,1,1,0,0,1,0,1,0,0,"[""Lagan Gandhar""]"
1,0,1,1,0,1,1,1,0,1,1,1,"[""Rang Malhar""]"
