raga,tonic,tonic_name,salience,fit_score,primary_score,match_mass,extra_mass,observed_note_score,loglike_norm,raga_size,match_diff,complexity_pen,rank
Hansadhwani,3,D#,3200,506.32232272764463,0.33577155718103785,0.918413278942185,0.08158672105781495,0.46652375848398864,0.17957146469336993,5,3,0.0,1
"Bihag, Chhayanat, Gaud Sarang, Hameer, Kamod, Maru Bihag, Nand, Shyam Kalyan",3,D#,3200,468.93328083563654,0.33577155718103785,0.980728653819102,0.019271346180897986,0.311361200427934,0.0,8,0,0.25,2
"Alhaiya Bilawal, Bihagda, Desh, Devgiri Bilawal, Gaud Malhar",3,D#,3200,432.4982466909084,0.33577155718103785,0.9576593051062029,0.042340694893797104,0.30403715612641635,0.0,8,0,0.25,3
"“Shuddha Kalyan, Yaman",3,D#,3200,424.03548107395926,0.33577155718103785,0.9638486425657611,0.03615135743423892,0.34971673556793764,0.0,7,1,0.16666666666666666,4
"“Bhatiyar, Shuddha Basant",3,D#,3200,415.3915538302738,0.33577155718103785,0.9468279645519758,0.05317203544802418,0.30059842800924036,0.0,8,0,0.25,5
Shankara,3,D#,3200,405.3466689272435,0.33577155718103785,0.9351526234350815,0.06484737656491846,0.39585566273568656,0.041987151424032976,6,2,0.08333333333333333,6
"Bilawal, Bihari, Hem Bihag, Hemant, Mand, Tilak Kamod",3,D#,3200,405.2396578967537,0.33577155718103785,0.9520326346884225,0.047967365311577526,0.34542949012314683,0.0,7,1,0.16666666666666666,7
Poorvi,3,D#,3200,396.0632125461803,0.33577155718103785,0.9345899563933038,0.06541004360669622,0.2967131118248987,0.0,8,0,0.25,8
Nat Bhairav,3,D#,3200,385.7725553203621,0.33577155718103785,0.9397946265297503,0.06020537347024968,0.34098912876961346,0.0,7,1,0.16666666666666666,9
"Manj Khamaj, Saraswati Kedar",3,D#,3200,373.2879980656783,0.33577155718103785,0.9863553242368823,0.013644675763117675,0.2783533801747528,0.0,9,1,0.3333333333333333,10
Puriya Kalyan,3,D#,3200,370.1093693393577,0.33577155718103785,0.929947953298635,0.070052046701365,0.3374164242322878,0.0,7,1,0.16666666666666666,11
"Alhaiya Bilawal, Bihagda, Desh, Devgiri Bilawal, Gaud Malhar",10,A#,512,368.1332808356366,0.33577155718103785,0.980728653819102,0.019271346180897986,0.31136120042793397,0.0,8,0,0.25,12
"Gunakri, Gunkali",2,D,537,358.46574537024003,0.5418483612322402,0.9063159375439577,0.09368406245604233,0.4603787066797884,0.1512596623843564,5,3,0.0,13
Kaushik Dhwani,10,A#,512,357.5282453702399,0.33577155718103785,0.9063159375439576,0.09368406245604244,0.4603787066797884,0.1512596623843564,5,3,0.0,14
"Bihag, Chhayanat, Gaud Sarang, Hameer, Kamod, Maru Bihag, Nand, Shyam Kalyan",10,A#,512,352.3595770290774,0.33577155718103785,0.970741313827542,0.02925868617245797,0.30819042515105743,0.0,8,0,0.25,15
"Basant, Puriya Dhanashree, Shri”",3,D#,3200,350.64226676296613,0.33577155718103785,0.9177099451399628,0.08229005486003715,0.3329760628787544,0.0,7,1,0.16666666666666666,16
"“Bhatiyar, Shuddha Basant",10,A#,512,333.0312357449841,0.33577155718103785,0.9585033056688701,0.0414966943311299,0.30430510896671575,0.0,8,0,0.25,17
"Bhairav, Gauri",3,D#,3200,331.8464435857606,0.33577155718103785,0.9058939372626242,0.09410606273737576,0.3286888174339636,0.0,7,1,0.16666666666666666,18
"Hanskinki, Jaijaiwanti, Ramdasi Malhar, Tilang Bahar, Zila Kafi",3,D#,3200,331.7542259175019,0.33577155718103785,0.9599099732733152,0.040090026726684824,0.2708903973634502,0.0,9,1,0.3333333333333333,19
"Bheem, Malgunji",10,A#,512,331.69824669090843,0.33577155718103785,0.9576593051062029,0.042340694893797104,0.30403715612641635,0.0,8,0,0.25,20
Jogkauns,3,D#,3200,324.46237019471545,0.33577155718103785,0.9012519341679555,0.09874806583204454,0.32700454243779575,0.0,7,1,0.16666666666666666,21
"Bhairavi, Bilaskhani Todi, Asavari (komal re)",2,D,537,324.1729810739597,0.5418483612322402,0.9638486425657613,0.036151357434238696,0.34971673556793764,0.0,7,1,0.16666666666666666,22
"Bilawal, Bihari, Hem Bihag, Hemant, Mand, Tilak Kamod",10,A#,512,323.2354810739593,0.33577155718103785,0.9638486425657611,0.03615135743423892,0.34971673556793764,0.0,7,1,0.16666666666666666,23
Chandranandan,3,D#,3200,312.5338100829734,0.33577155718103785,0.947671965114643,0.05232803488535698,0.2674367829773687,0.0,9,1,0.3333333333333333,24
