track_name,vocals_median_pitch_hz,accompaniment_median_pitch_hz
Abhogi_1,175.435,93.24
Abhogi_10,261.45,156.05
Abhogi_2,171.375,93.26
Abhogi_3,185.33,86.82
Abhogi_4,247.93,106.7
Abhogi_5,159.13,84.33
Abhogi_6,168.45,147.14
Abhogi_7,174.92,124.42
Abhogi_8,157.98,137.35
Abhogi_9,147.37,131.22
Adana_1,253.34,93.21
Adana_10,362.88,98.98
Adana_2,277.03,156.06
Adana_3,235.86,156.06
Adana_4,262.89,86.685
Adana_5,261.36,98.66499999999999
Adana_6,207.93,138.96
Adana_7,256.33,88.43
Adana_8,212.23,106.5
Adana_9,340.915,88.03
Ahir bhairav_1,194.065,93.975
Ahir bhairav_10,185.32,139.03
Ahir bhairav_2,266.76,91.93
Ahir bhairav_3,147.37,51.71
Ahir bhairav_4,146.0,90.12
Ahir bhairav_5,147.37,90.19
Ahir bhairav_6,160.305,156.1
Ahir bhairav_7,275.42499999999995,95.67
Ahir bhairav_8,156.06,79.58
Ahir bhairav_9,304.12,119.68
Alhaiya Bilaval_1,185.3,78.345
Alhaiya Bilaval_10,185.065,92.58
Alhaiya Bilaval_2,219.91,81.62
Alhaiya Bilaval_3,216.11,235.885
Alhaiya Bilaval_4,232.61,130.2
Alhaiya Bilaval_5,311.42,293.935
Alhaiya Bilaval_6,204.6,104.8
Alhaiya Bilaval_7,160.53,90.57499999999999
Alhaiya Bilaval_8,253.385,137.28
Alhaiya Bilaval_9,321.04,95.94
Asavari (komal re)_1,165.33,81.64500000000001
Asavari (komal re)_10,224.23,84.02
Asavari (komal re)_2,111.19,156.05
Asavari (komal re)_3,165.13,132.285
Asavari (komal re)_4,161.84,79.99
Asavari (komal re)_5,114.94,131.42
Asavari (komal re)_6,136.52,138.94
Asavari (komal re)_7,341.38,98.63
Asavari (komal re)_8,150.21,155.16
Asavari (komal re)_9,147.36,112.58
Bageshri_1,249.15,147.44
Bageshri_10,188.615,88.01
Bageshri_2,196.41,93.03
Bageshri_3,163.64,97.6
Bageshri_4,147.33,119.52
Bageshri_5,261.33,196.69
Bageshri_6,165.26,94.3
